Exam_Stress,Assignment_Workload,Academic_Performance,Sleep_Duration,Physical_Activity,Screen_Time,Eating_Habits,Family_Support,Friend_Support,Living_Condition,Mental_Health_Level
High,Very Heavy,Average,7-8 hours,Never,4-6 hours,Average,Moderate,Supportive,Hostel,Moderate Stress
Very High,Very Heavy,Below Average,Less than 5 hours,Never,More than 8 hours,Very Unhealthy,Very High,Slightly Supportive,With Family,High Stress
Moderate,Light,Good,7-8 hours,Regularly,Less than 2 hours,Average,High,Supportive,With Family,Healthy
High,Moderate,Good,6-7 hours,Sometimes,4-6 hours,Mostly Healthy,Low,Very Supportive,Shared Accommodation,Moderate Stress
High,Moderate,Below Average,5-6 hours,Sometimes,6-8 hours,Unhealthy,High,Unsupportive,Rented Alone,High Stress
Moderate,Heavy,Poor,5-6 hours,Sometimes,2-4 hours,Very Healthy,Moderate,Supportive,Shared Accommodation,Moderate Stress
Very High,Heavy,Below Average,6-7 hours,Never,6-8 hours,Average,Very High,Supportive,Hostel,High Stress
High,Heavy,Good,7-8 hours,Never,6-8 hours,Mostly Healthy,Low,Very Supportive,Hostel,Moderate Stress
High,Heavy,Average,7-8 hours,Never,4-6 hours,Average,High,Slightly Supportive,With Family,Moderate Stress
Very Low,Light,Average,More than 8 hours,Regularly,Less than 2 hours,Mostly Healthy,Moderate,Very Supportive,Shared Accommodation,Healthy
Low,Moderate,Average,7-8 hours,Regularly,2-4 hours,Very Healthy,Very Low,Supportive,Shared Accommodation,Healthy
Low,Moderate,Excellent,More than 8 hours,Regularly,2-4 hours,Mostly Healthy,Very Low,Unsupportive,Rented Alone,Healthy
Low,Light,Good,More than 8 hours,Regularly,Less than 2 hours,Very Healthy,Moderate,Slightly Supportive,Hostel,Healthy
Moderate,Heavy,Average,6-7 hours,Rarely,4-6 hours,Mostly Healthy,High,Unsupportive,Rented Alone,Moderate Stress
High,Moderate,Average,5-6 hours,Sometimes,2-4 hours,Unhealthy,High,Very Unsupportive,Hostel,Moderate Stress
High,Heavy,Below Average,6-7 hours,Sometimes,6-8 hours,Unhealthy,Low,Very Supportive,Shared Accommodation,Moderate Stress
High,Moderate,Average,5-6 hours,Regularly,6-8 hours,Mostly Healthy,Very High,Supportive,With Family,Moderate Stress
Low,Moderate,Excellent,More than 8 hours,Daily,4-6 hours,Mostly Healthy,High,Slightly Supportive,With Family,Healthy
Very High,Extremely Heavy,Average,6-7 hours,Rarely,6-8 hours,Unhealthy,High,Supportive,Shared Accommodation,High Stress
Moderate,Heavy,Below Average,5-6 hours,Rarely,4-6 hours,Average,Very High,Very Unsupportive,Rented Alone,Moderate Stress
Very High,Heavy,Below Average,7-8 hours,Sometimes,4-6 hours,Average,Very High,Supportive,With Family,Moderate Stress
Moderate,Heavy,Excellent,7-8 hours,Regularly,6-8 hours,Mostly Healthy,Very High,Supportive,Shared Accommodation,Healthy
Very Low,Very Light,Good,7-8 hours,Daily,2-4 hours,Very Healthy,Low,Very Unsupportive,Hostel,Healthy
Moderate,Heavy,Average,6-7 hours,Sometimes,6-8 hours,Mostly Healthy,Low,Supportive,Shared Accommodation,Moderate Stress
Moderate,Heavy,Average,7-8 hours,Sometimes,4-6 hours,Average,High,Supportive,Shared Accommodation,Moderate Stress
Very High,Heavy,Poor,6-7 hours,Never,More than 8 hours,Average,Low,Supportive,Shared Accommodation,High Stress
Very High,Extremely Heavy,Average,6-7 hours,Never,More than 8 hours,Unhealthy,Moderate,Supportive,Rented Alone,High Stress
Moderate,Moderate,Excellent,More than 8 hours,Sometimes,2-4 hours,Very Healthy,Very High,Supportive,Shared Accommodation,Healthy
